rank,city,avg,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,latitude,longitude
64,"Dispur, India",119,288,221,153,131,74,80,35,44,54,73,144,134,26.1409355,91.7910265
65,"Habra, India",119,261,150,107,96,64,57,27,70,46,91,228,226,22.8400629,88.6630678
66,"Karnal, India",119,149,118,75,103,119,77,48,80,73,170,212,199,29.7255766,76.91069238886621
67,"Bhatpara, India",118,260,150,107,96,63,57,27,69,46,91,228,225,22.8571157,88.3971976
68,"Halisahar, India",118,259,149,107,95,63,57,27,69,46,91,227,224,22.9322475,88.4248587
69,"Hugli, India",118,260,150,107,96,63,57,27,69,46,91,228,225,22.7483803,88.7425195
70,"Kalyani, India",118,258,148,106,95,63,57,27,69,46,90,227,224,22.9749723,88.4345915
71,"Kanchrapara, India",118,258,148,106,95,63,57,27,69,46,90,227,224,22.9496431,88.4378838
72,"Madhyamgram, India",118,259,149,107,95,63,57,27,69,46,91,224,226,22.6947839,88.4530183
73,"Naihati, India",118,260,150,107,96,63,57,27,69,46,91,228,225,22.8886213,88.4239345
74,"Silvassa, India",118,237,241,141,94,66,53,47,55,55,159,127,145,20.2736768,73.0045787
75,"Wujiaqu, China",118,326,260,129,82,59,66,61,59,51,74,77,173,44.1654232,87.5402182
76,"Yuncheng, China",118,218,176,152,149,64,61,59,59,58,129,132,154,35.218039,111.053715
77,"Bikaner, India",117,127,143,102,103,99,94,106,112,81,116,172,143,28.0159286,73.3171367
78,"Krishnanagar, India",117,257,147,104,95,63,56,27,69,46,90,226,223,23.4058481,88.4958935
79,"Navadwip, India",117,257,147,104,95,63,57,27,69,46,90,226,223,,
80,"Shantipur, India",117,257,148,104,95,63,57,27,69,46,90,226,223,23.2464,88.4437
81,"Asansol, India",116,222,188,137,128,111,80,52,74,55,85,135,124,23.6871297,86.9746587
82,"Bansbaria, India",116,255,146,105,94,62,56,27,68,45,89,226,221,22.409066,88.172582
83,"Deo, India",116,298,161,101,104,82,71,33,54,52,68,205,168,24.62448945,84.42541989386177
84,"Kota, India",116,168,128,112,106,101,76,77,87,71,143,187,141,25.1737019,75.8574194
85,"Rampur, India",116,113,95,111,116,109,97,89,108,98,122,149,180,28.7934728,79.18458064228349
86,"Fatehpur, India",115,165,122,101,114,111,91,55,70,61,112,195,179,25.8348023,80.91545468512774
87,"Kolkata, India",115,239,138,99,88,56,51,28,65,41,108,230,231,22.5726459,88.3638953
88,"Mumbai, India",115,212,192,141,98,74,77,46,54,56,148,120,160,18.9733536,72.82810491917377
89,"Thane, India",115,174,188,118,124,87,74,56,38,67,175,120,163,19.1943294,72.9701779
90,"Uluberiya, India",115,249,143,96,85,59,55,34,67,48,96,219,223,,
91,"Vrindavan, India",115,119,144,118,134,130,150,102,60,41,94,151,142,27.5753726,77.6938045
92,"Alwar, India",114,159,112,87,113,82,87,68,71,63,103,226,202,27.414004849999998,76.61703869600933
93,"Bankura, India",114,216,196,135,126,106,82,44,70,52,91,128,123,23.132376999999998,87.20819250835955
94,"Kalyan, India",114,187,180,142,116,83,61,71,44,59,149,115,155,19.2396742,73.1366482
95,"Kanpur, India",114,169,121,102,109,97,88,52,65,55,112,217,176,26.4609135,80.3217588
96,"Valsad, India",114,225,230,137,90,66,54,47,53,54,152,125,139,20.43219565,73.14098929730321
97,"Amritsar, India",113,182,128,83,88,83,69,54,64,61,97,218,231,31.6356659,74.8787496
98,"Bangaon, India",113,249,140,101,87,58,53,25,66,42,86,224,223,23.0434655,88.8317765
99,"Daman, India",113,223,225,134,88,67,56,47,53,53,146,124,138,20.4169701,72.833173
100,"Jamuria, India",113,219,184,129,122,107,79,51,72,56,84,136,118,23.7102112,87.077021
101,"Kulti, India",113,219,184,129,122,107,79,51,72,56,84,137,117,23.7302149,86.8396711
102,"Sirsa, India",113,148,125,89,92,96,100,72,69,73,85,243,165,29.606304100000003,74.9036567857643
103,"Amudalavalasa, India",112,166,127,113,93,83,96,59,85,64,114,142,200,18.4111443,83.8993345
104,"Anakapalle, India",112,166,127,113,93,83,97,59,85,64,114,141,200,17.68897,83.003476
105,"Durgapur, India",112,185,196,140,131,105,82,50,76,51,81,122,127,23.5350475,87.3380425
106,"Howrah, India",112,244,143,102,105,59,54,36,68,42,84,210,202,22.5736296,88.3251045
107,"Pali, India",112,125,113,90,98,102,98,126,109,80,89,155,154,25.45522105,73.4193889559074
108,"Sambhal, India",112,116,99,119,119,103,85,61,95,82,114,173,173,28.42719275,78.55645464651963
